,Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
3658,3659,0.5,Very Good,G,SI1,,52.0,5.1,5.15,3.2,1153
257,258,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,14344
2202,2203,1.0,Very Good,D,SI1,61.3,54.0,6.37,6.39,3.91,5390
12272,12273,1.58,Premium,J,VVS2,61.0,58.0,7.56,7.49,4.59,7592
13022,13023,0.72,Ideal,F,VS2,61.8,56.0,5.72,5.74,3.54,3564
14458,14459,0.98,Ideal,G,SI2,62.9,57.0,6.33,6.29,3.97,4116
21902,21903,0.71,Ideal,D,VS2,60.4,57.0,5.77,5.82,3.5,3135
16435,16436,0.54,Premium,E,SI1,62.2,61.0,5.24,5.15,3.23,1375
8704,8705,0.3,Ideal,E,SI1,62.9,57.0,4.32,4.27,2.7,675
16660,16661,0.53,Ideal,E,VS2,62.5,57.0,5.18,5.16,3.23,1727
26079,26080,1.36,Ideal,D,SI2,61.2,57.0,7.15,7.19,4.39,6443
26804,26805,0.32,Ideal,D,SI1,62.1,54.0,4.4,4.45,2.75,715
23820,23821,1.12,Very Good,D,SI2,59.3,59.0,6.76,6.8,4.02,5243
6826,6827,0.67,Good,F,VS1,64.4,57.0,5.55,5.6,3.6,2244
20723,20724,2.18,Ideal,J,VS2,60.3,57.0,8.41,8.45,5.08,16427
24066,24067,1.01,Fair,H,VVS2,65.0,55.0,6.31,6.27,4.09,4355
484,485,1.11,Ideal,J,VS2,61.7,54.0,6.64,6.69,4.11,5051
24437,24438,0.56,Ideal,F,VVS1,62.1,56.0,5.29,5.3,3.29,2510
359,360,0.31,Ideal,E,IF,61.9,56.0,4.35,4.37,2.7,1060
3733,3734,0.9,Good,E,SI1,59.8,64.0,6.14,6.21,3.69,4229
11453,11454,1.2,Ideal,G,VS2,62.8,54.0,6.75,6.79,4.25,8414
24985,24986,0.9,Fair,F,VS2,,67.0,6.29,6.24,3.73,4536
10158,10159,1.18,Very Good,H,SI1,62.6,55.0,6.76,6.79,4.24,5674
17431,17432,0.9,Good,G,VS1,63.6,58.0,6.09,6.12,3.88,4540
4810,4811,0.42,Premium,G,SI1,62.7,59.0,4.75,4.72,2.97,920
9356,9357,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1289
23491,23492,0.32,Premium,D,VVS1,62.0,60.0,4.4,4.37,2.72,973
15816,15817,0.39,Very Good,F,VVS1,62.7,57.0,4.64,4.68,2.92,1232
2527,2528,2.13,Ideal,H,SI1,62.2,55.0,8.2,8.27,5.12,18275
23213,23214,1.21,Premium,I,SI1,61.6,58.0,6.89,6.84,4.23,5353
15190,15191,0.33,Ideal,F,VVS1,61.7,57.0,4.44,4.47,2.75,955
25886,25887,0.37,Ideal,E,VVS2,61.8,54.0,4.63,4.6,2.85,1082
25247,25248,0.33,Very Good,F,VS1,59.1,60.0,4.48,4.52,2.66,772
8013,8014,0.7,Very Good,G,VS2,62.7,57.0,5.65,5.7,3.56,2507
2450,2451,0.71,Ideal,F,VS1,61.5,57.0,5.74,5.71,3.52,2839
20252,20253,0.42,Ideal,G,VVS2,61.3,56.0,4.82,4.81,2.95,1103
17959,17960,0.56,Premium,F,SI1,62.7,59.0,5.27,5.22,3.29,2016
12717,12718,0.32,Very Good,H,VVS1,61.7,56.0,4.4,4.43,2.72,672
25639,25640,2.02,Very Good,H,SI1,63.4,60.0,7.96,8.04,5.07,17672
13766,13767,0.9,Good,E,SI2,62.0,63.0,6.09,6.14,3.79,3218
7348,7349,0.41,Very Good,D,VS1,62.9,57.0,4.73,4.75,2.98,1151
4834,4835,1.57,Very Good,I,VS2,60.3,58.0,7.58,7.55,4.56,10447
3612,3613,1.12,Ideal,G,VS1,61.1,56.0,6.7,6.73,4.1,8080
20026,20027,2.01,Premium,E,SI2,62.0,61.0,8.1,8.04,5.0,17179
836,837,0.36,Ideal,E,SI1,62.9,56.0,4.57,4.52,2.86,810
23991,23992,0.62,Ideal,F,SI2,62.0,58.0,5.44,5.49,3.39,1446
3566,3567,0.31,Ideal,E,IF,61.9,55.0,4.38,4.41,2.72,1046
14581,14582,0.91,Premium,I,VS2,62.4,61.0,6.18,6.16,3.85,3376
9544,9545,0.31,Very Good,G,VS1,62.4,59.0,4.32,4.34,2.7,625
25451,25452,1.31,Premium,I,SI1,62.0,58.0,7.01,6.98,4.34,5282
23741,23742,0.36,Good,H,VS2,63.5,54.0,4.55,4.59,2.9,568
15773,15774,0.56,Very Good,D,VS2,62.8,57.0,5.25,5.29,3.31,1963
24345,24346,0.36,Premium,G,SI2,60.8,58.0,4.61,4.57,2.79,608
766,767,1.38,Good,J,SI2,63.7,58.0,7.06,7.01,4.48,4598
7094,7095,0.35,Ideal,E,VS1,61.9,56.0,4.51,4.53,2.8,829
